,date_year,date_month,date_day,price,fare_type,date
0,2019,05,21,1314.4,standard_lowfare,2019-05-21
1,2019,05,21,1256.2,standard_lowfare,2019-05-21
2,2019,05,21,1361.9,standard_lowfare,2019-05-21
0,2019,05,23,1408.6,standard_lowfare,2019-05-23
1,2019,05,23,1453.8,standard_lowfare,2019-05-23
0,2019,05,24,1108.8,standard_lowfare,2019-05-24
0,2019,05,25,1343.2,standard_lowfare,2019-05-25
1,2019,05,25,1002.1,standard_lowfare,2019-05-25
2,2019,05,25,1168.8,standard_lowfare,2019-05-25
3,2019,05,25,621.9,standard_lowfare,2019-05-25
0,2019,05,26,865.1,standard_lowfare,2019-05-26
1,2019,05,26,841.3,standard_lowfare,2019-05-26
2,2019,05,26,862.6,standard_lowfare,2019-05-26
3,2019,05,26,738.6,standard_lowfare,2019-05-26
4,2019,05,26,610.4,standard_lowfare,2019-05-26
5,2019,05,26,862.6,standard_lowfare,2019-05-26
6,2019,05,26,716.0,standard_lowfare,2019-05-26
0,2019,05,27,935.8,standard_lowfare,2019-05-27
1,2019,05,27,1007.7,standard_lowfare,2019-05-27
2,2019,05,27,653.0,standard_lowfare,2019-05-27
3,2019,05,27,716.0,standard_lowfare,2019-05-27
4,2019,05,27,1007.7,standard_lowfare,2019-05-27
5,2019,05,27,637.3,standard_lowfare,2019-05-27
6,2019,05,27,653.0,standard_lowfare,2019-05-27
0,2019,05,28,789.9,standard_lowfare,2019-05-28
1,2019,05,28,676.5,standard_lowfare,2019-05-28
2,2019,05,28,676.5,standard_lowfare,2019-05-28
3,2019,05,28,779.6,standard_lowfare,2019-05-28
0,2019,05,29,961.3,standard_lowfare,2019-05-29
1,2019,05,29,961.3,standard_lowfare,2019-05-29
2,2019,05,29,676.5,standard_lowfare,2019-05-29
3,2019,05,29,961.3,standard_lowfare,2019-05-29
4,2019,05,29,958.8,standard_lowfare,2019-05-29
5,2019,05,29,676.5,standard_lowfare,2019-05-29
0,2019,05,30,793.0,standard_lowfare,2019-05-30
1,2019,05,30,793.0,standard_lowfare,2019-05-30
2,2019,05,30,675.8,standard_lowfare,2019-05-30
3,2019,05,30,802.1,standard_lowfare,2019-05-30
0,2019,05,31,932.6,standard_lowfare,2019-05-31
0,2019,06,01,659.9,standard_lowfare,2019-06-01
1,2019,06,01,1083.2,standard_lowfare,2019-06-01
2,2019,06,01,908.8,standard_lowfare,2019-06-01
0,2019,06,02,801.3,standard_lowfare,2019-06-02
1,2019,06,02,785.8,standard_lowfare,2019-06-02
2,2019,06,02,769.3,standard_lowfare,2019-06-02
3,2019,06,02,843.8,standard_lowfare,2019-06-02
4,2019,06,02,1231.9,standard_lowfare,2019-06-02
5,2019,06,02,734.4,standard_lowfare,2019-06-02
6,2019,06,02,798.6,standard_lowfare,2019-06-02
0,2019,06,03,963.6,standard_lowfare,2019-06-03
1,2019,06,03,1062.1,standard_lowfare,2019-06-03
2,2019,06,03,711.4,standard_lowfare,2019-06-03
3,2019,06,03,798.6,standard_lowfare,2019-06-03
4,2019,06,03,1093.4,standard_lowfare,2019-06-03
5,2019,06,03,712.7,standard_lowfare,2019-06-03
6,2019,06,03,711.4,standard_lowfare,2019-06-03
0,2019,06,04,609.9,standard_lowfare,2019-06-04
1,2019,06,04,658.9,standard_lowfare,2019-06-04
2,2019,06,04,658.9,standard_lowfare,2019-06-04
3,2019,06,04,712.7,standard_lowfare,2019-06-04
0,2019,06,05,865.1,standard_lowfare,2019-06-05
