,date_year,date_month,date_day,price,fare_type,date
0,2019,05,21,1074.1,standard_lowfare,2019-05-21
1,2019,05,21,1269.7,standard_lowfare,2019-05-21
2,2019,05,21,1360.7,standard_lowfare,2019-05-21
0,2019,05,22,1092.2,standard_lowfare,2019-05-22
1,2019,05,22,1092.2,standard_lowfare,2019-05-22
2,2019,05,22,1227.7,standard_lowfare,2019-05-22
3,2019,05,22,997.0,standard_lowfare,2019-05-22
0,2019,05,23,1225.3,standard_lowfare,2019-05-23
0,2019,05,25,1275.5,standard_lowfare,2019-05-25
1,2019,05,25,1090.0,standard_lowfare,2019-05-25
2,2019,05,25,1090.0,standard_lowfare,2019-05-25
3,2019,05,25,1211.1,standard_lowfare,2019-05-25
4,2019,05,25,1147.0,standard_lowfare,2019-05-25
5,2019,05,25,1040.7,standard_lowfare,2019-05-25
6,2019,05,25,798.1,standard_lowfare,2019-05-25
7,2019,05,25,1198.4,standard_lowfare,2019-05-25
8,2019,05,25,1090.0,standard_lowfare,2019-05-25
0,2019,05,26,843.7,standard_lowfare,2019-05-26
1,2019,05,26,691.4,standard_lowfare,2019-05-26
2,2019,05,26,853.2,standard_lowfare,2019-05-26
3,2019,05,26,837.7,standard_lowfare,2019-05-26
4,2019,05,26,706.6,standard_lowfare,2019-05-26
0,2019,05,27,621.4,standard_lowfare,2019-05-27
1,2019,05,27,611.1,standard_lowfare,2019-05-27
2,2019,05,27,606.2,standard_lowfare,2019-05-27
0,2019,05,28,704.9,standard_lowfare,2019-05-28
1,2019,05,28,1004.1,standard_lowfare,2019-05-28
2,2019,05,28,668.7,standard_lowfare,2019-05-28
3,2019,05,28,1120.5,standard_lowfare,2019-05-28
4,2019,05,28,1015.3,standard_lowfare,2019-05-28
5,2019,05,28,668.7,standard_lowfare,2019-05-28
0,2019,05,29,1068.4,standard_lowfare,2019-05-29
1,2019,05,29,683.8,standard_lowfare,2019-05-29
2,2019,05,29,1068.4,standard_lowfare,2019-05-29
3,2019,05,29,565.5,standard_lowfare,2019-05-29
4,2019,05,29,668.7,standard_lowfare,2019-05-29
0,2019,05,30,799.3,standard_lowfare,2019-05-30
1,2019,05,30,1077.0,standard_lowfare,2019-05-30
2,2019,05,30,1020.0,standard_lowfare,2019-05-30
3,2019,05,30,1004.1,standard_lowfare,2019-05-30
4,2019,05,30,784.2,standard_lowfare,2019-05-30
