,date_year,date_month,date_day,price,fare_type,date
0,2019,05,07,1284.8,standard_lowfare,2019-05-07
1,2019,05,07,1051.7,standard_lowfare,2019-05-07
2,2019,05,07,1254.5,standard_lowfare,2019-05-07
0,2019,05,08,1126.5,standard_lowfare,2019-05-08
1,2019,05,08,904.2,standard_lowfare,2019-05-08
2,2019,05,08,1227.7,standard_lowfare,2019-05-08
3,2019,05,08,1126.5,standard_lowfare,2019-05-08
0,2019,05,09,985.7,standard_lowfare,2019-05-09
1,2019,05,09,985.7,standard_lowfare,2019-05-09
2,2019,05,09,1030.5,standard_lowfare,2019-05-09
3,2019,05,09,685.6,standard_lowfare,2019-05-09
4,2019,05,09,957.8,standard_lowfare,2019-05-09
0,2019,05,11,650.0,standard_lowfare,2019-05-11
1,2019,05,11,1020.0,standard_lowfare,2019-05-11
2,2019,05,11,1020.0,standard_lowfare,2019-05-11
3,2019,05,11,1031.1,standard_lowfare,2019-05-11
4,2019,05,11,1020.0,standard_lowfare,2019-05-11
5,2019,05,11,680.4,standard_lowfare,2019-05-11
6,2019,05,11,501.5,standard_lowfare,2019-05-11
7,2019,05,11,680.4,standard_lowfare,2019-05-11
8,2019,05,11,1006.6,standard_lowfare,2019-05-11
0,2019,05,12,843.7,standard_lowfare,2019-05-12
1,2019,05,12,509.0,standard_lowfare,2019-05-12
2,2019,05,12,888.9,standard_lowfare,2019-05-12
3,2019,05,12,837.7,standard_lowfare,2019-05-12
4,2019,05,12,493.8,standard_lowfare,2019-05-12
0,2019,05,13,614.9,standard_lowfare,2019-05-13
1,2019,05,13,486.2,standard_lowfare,2019-05-13
2,2019,05,13,551.5,standard_lowfare,2019-05-13
3,2019,05,13,486.2,standard_lowfare,2019-05-13
0,2019,05,14,479.9,standard_lowfare,2019-05-14
1,2019,05,14,950.0,standard_lowfare,2019-05-14
2,2019,05,14,478.7,standard_lowfare,2019-05-14
3,2019,05,14,1051.7,standard_lowfare,2019-05-14
4,2019,05,14,1051.7,standard_lowfare,2019-05-14
5,2019,05,14,478.7,standard_lowfare,2019-05-14
0,2019,05,15,692.7,standard_lowfare,2019-05-15
1,2019,05,15,509.0,standard_lowfare,2019-05-15
2,2019,05,15,883.0,standard_lowfare,2019-05-15
3,2019,05,15,740.3,standard_lowfare,2019-05-15
4,2019,05,15,540.8,standard_lowfare,2019-05-15
5,2019,05,15,651.0,standard_lowfare,2019-05-15
6,2019,05,15,706.2,standard_lowfare,2019-05-15
0,2019,05,16,574.2,standard_lowfare,2019-05-16
1,2019,05,16,761.2,standard_lowfare,2019-05-16
2,2019,05,16,807.0,standard_lowfare,2019-05-16
3,2019,05,16,829.4,standard_lowfare,2019-05-16
4,2019,05,16,855.5,standard_lowfare,2019-05-16
5,2019,05,16,619.7,standard_lowfare,2019-05-16
6,2019,05,16,761.2,standard_lowfare,2019-05-16
0,2019,05,18,630.4,standard_lowfare,2019-05-18
1,2019,05,18,1090.0,standard_lowfare,2019-05-18
2,2019,05,18,1214.1,standard_lowfare,2019-05-18
3,2019,05,18,1211.1,standard_lowfare,2019-05-18
4,2019,05,18,1135.8,standard_lowfare,2019-05-18
5,2019,05,18,706.2,standard_lowfare,2019-05-18
6,2019,05,18,627.7,standard_lowfare,2019-05-18
7,2019,05,18,630.4,standard_lowfare,2019-05-18
8,2019,05,18,1076.6,standard_lowfare,2019-05-18
0,2019,05,19,527.7,standard_lowfare,2019-05-19
1,2019,05,19,551.4,standard_lowfare,2019-05-19
2,2019,05,19,527.7,standard_lowfare,2019-05-19
3,2019,05,19,527.7,standard_lowfare,2019-05-19
4,2019,05,19,528.7,standard_lowfare,2019-05-19
0,2019,05,20,659.9,standard_lowfare,2019-05-20
1,2019,05,20,478.7,standard_lowfare,2019-05-20
2,2019,05,20,540.8,standard_lowfare,2019-05-20
3,2019,05,20,478.7,standard_lowfare,2019-05-20
0,2019,05,21,524.9,standard_lowfare,2019-05-21
1,2019,05,21,596.6,standard_lowfare,2019-05-21
2,2019,05,21,478.7,standard_lowfare,2019-05-21
3,2019,05,21,610.0,standard_lowfare,2019-05-21
4,2019,05,21,711.7,standard_lowfare,2019-05-21
5,2019,05,21,478.7,standard_lowfare,2019-05-21
0,2019,05,22,673.2,standard_lowfare,2019-05-22
1,2019,05,22,589.3,standard_lowfare,2019-05-22
2,2019,05,22,720.8,standard_lowfare,2019-05-22
3,2019,05,22,720.8,standard_lowfare,2019-05-22
4,2019,05,22,580.8,standard_lowfare,2019-05-22
5,2019,05,22,657.7,standard_lowfare,2019-05-22
6,2019,05,22,650.0,standard_lowfare,2019-05-22
0,2019,05,23,756.2,standard_lowfare,2019-05-23
1,2019,05,23,711.2,standard_lowfare,2019-05-23
2,2019,05,23,733.6,standard_lowfare,2019-05-23
3,2019,05,23,722.4,standard_lowfare,2019-05-23
4,2019,05,23,862.8,standard_lowfare,2019-05-23
5,2019,05,23,868.4,standard_lowfare,2019-05-23
6,2019,05,23,700.0,standard_lowfare,2019-05-23
0,2019,05,24,749.9,standard_lowfare,2019-05-24
0,2019,05,25,630.4,standard_lowfare,2019-05-25
1,2019,05,25,596.6,standard_lowfare,2019-05-25
2,2019,05,25,596.6,standard_lowfare,2019-05-25
3,2019,05,25,915.5,standard_lowfare,2019-05-25
4,2019,05,25,596.6,standard_lowfare,2019-05-25
5,2019,05,25,630.4,standard_lowfare,2019-05-25
6,2019,05,25,748.1,standard_lowfare,2019-05-25
7,2019,05,25,584.8,standard_lowfare,2019-05-25
8,2019,05,25,596.6,standard_lowfare,2019-05-25
0,2019,05,26,747.7,standard_lowfare,2019-05-26
1,2019,05,26,551.4,standard_lowfare,2019-05-26
2,2019,05,26,747.7,standard_lowfare,2019-05-26
3,2019,05,26,747.7,standard_lowfare,2019-05-26
4,2019,05,26,528.7,standard_lowfare,2019-05-26
0,2019,05,27,569.9,standard_lowfare,2019-05-27
1,2019,05,27,528.7,standard_lowfare,2019-05-27
2,2019,05,27,580.8,standard_lowfare,2019-05-27
3,2019,05,27,528.7,standard_lowfare,2019-05-27
0,2019,05,28,434.9,standard_lowfare,2019-05-28
1,2019,05,28,722.4,standard_lowfare,2019-05-28
2,2019,05,28,528.7,standard_lowfare,2019-05-28
3,2019,05,28,733.6,standard_lowfare,2019-05-28
4,2019,05,28,810.8,standard_lowfare,2019-05-28
5,2019,05,28,528.7,standard_lowfare,2019-05-28
0,2019,05,29,787.0,standard_lowfare,2019-05-29
1,2019,05,29,598.7,standard_lowfare,2019-05-29
2,2019,05,29,787.0,standard_lowfare,2019-05-29
3,2019,05,29,540.8,standard_lowfare,2019-05-29
4,2019,05,29,598.7,standard_lowfare,2019-05-29
0,2019,05,30,543.8,standard_lowfare,2019-05-30
1,2019,05,30,671.2,standard_lowfare,2019-05-30
2,2019,05,30,646.6,standard_lowfare,2019-05-30
3,2019,05,30,865.6,standard_lowfare,2019-05-30
4,2019,05,30,543.8,standard_lowfare,2019-05-30
5,2019,05,30,646.6,standard_lowfare,2019-05-30
0,2019,05,31,569.9,standard_lowfare,2019-05-31
0,2019,06,01,850.7,standard_lowfare,2019-06-01
1,2019,06,01,646.6,standard_lowfare,2019-06-01
2,2019,06,01,646.6,standard_lowfare,2019-06-01
3,2019,06,01,1169.6,standard_lowfare,2019-06-01
4,2019,06,01,646.6,standard_lowfare,2019-06-01
5,2019,06,01,1008.4,standard_lowfare,2019-06-01
6,2019,06,01,809.0,standard_lowfare,2019-06-01
7,2019,06,01,790.0,standard_lowfare,2019-06-01
