,data_extract_time,id_leg1,orig_port_code,dest_port_code,depart_date,depart_time,arrive_time,duration_total_min,stops,id_leg2,stops_loc,stops_time,prices_lowfare,prices_lowfareplus,prices_flex,prices_prem,prices_premflex
0,19-05-23 13:05:48,,LAX,ARN,05/23/19,15:45,11:20 +1,635,0,,,,0,0,0,0,0
1,19-05-23 13:05:48,,LAX,ARN,05/23/19,19:30,20:20 +1,950,1,,London,3h 10m,0,0,0,0,0
2,19-05-23 13:05:48,,LAX,ARN,05/23/19,19:30,23:15 +1,1125,1,,London,6h 5m,0,0,0,0,0
3,19-05-23 13:05:48,,LAX,ARN,05/23/19,20:00,00:40 +2,1180,1,,Paris,6h 30m,0,0,0,0,0
4,19-05-23 13:05:48,DY7108,LAX,ARN,05/23/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,1499.3,1589.3,1657.8,1759.3,1917.8
5,19-05-23 13:05:48,DY7108,LAX,ARN,05/23/19,16:35,23:45 +1,1330,1,DY4254,Barcelona,7h 40m,1522,1612,1657.8,1782,1917.8
0,19-05-23 13:05:48,DI7096,LAX,ARN,05/24/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,,,1664.1,,
0,19-05-23 13:05:48,DY7088,LAX,ARN,05/25/19,18:00,13:35 +1,635,0,,,,,,999.9,,1189.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,05/25/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,,,1664.1,,
2,19-05-23 13:05:48,DY7108,LAX,ARN,05/25/19,18:25,20:50 +1,1045,1,D85552,Barcelona,2h 55m,1115.8,1205.8,1465.8,1665.8,1665.8
3,19-05-23 13:05:48,DI7096,LAX,ARN,05/25/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,1431.1,1521.1,1489.4,,
4,19-05-23 13:05:48,DY7098,LAX,ARN,05/25/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,839.9,929.9,1359.3,,
0,19-05-23 13:05:48,DY7084,LAX,ARN,05/26/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,849.2,939.2,1056.9,,
1,19-05-23 13:05:48,DY7084,LAX,ARN,05/26/19,20:30,20:30 +1,900,1,DY4122,Oslo,3h 45m,801.5,891.5,1015.1,,
2,19-05-23 13:05:48,DI7096,LAX,ARN,05/26/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,991.1,1081.1,1269.4,1681.1,1739.4
3,19-05-23 13:05:48,DY7110,LAX,ARN,05/26/19,20:00,21:05 +1,965,1,D85552,Barcelona,1h 35m,716.1,806.1,1397.8,1326.1,1597.8
4,19-05-23 13:05:48,DY7098,LAX,ARN,05/26/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,581.6,671.6,1359.3,1481.6,1649.3
5,19-05-23 13:05:48,DI7096,LAX,ARN,05/26/19,19:30,23:15 +1,1125,1,D82858,London,6h 0m,932.9,1022.9,1211.1,1622.9,1681.1
6,19-05-23 13:05:48,DY7110,LAX,ARN,05/26/19,20:00,23:45 +1,1125,1,DY4254,Barcelona,4h 15m,987.8,1077.8,1397.8,1597.8,1597.8
0,19-05-23 13:05:48,DY7092,LAX,ARN,05/27/19,18:00,17:05 +1,845,1,DY4162,Copenhagen,2h 15m,1006,1096,1056.5,1636,1686.5
1,19-05-23 13:05:48,DY7092,LAX,ARN,05/27/19,18:00,18:20 +1,920,1,D83212,Copenhagen,3h 30m,1078,1168,1139.2,1708,1769.2
2,19-05-23 13:05:48,DI7096,LAX,ARN,05/27/19,19:40,20:20 +1,940,1,D82856,London,3h 0m,746.3,836.3,1106.3,1226.3,1296.3
3,19-05-23 13:05:48,,LAX,ARN,05/27/19,20:00,21:05 +1,965,1,,Barcelona,1h 35m,0,0,0,0,0
4,19-05-23 13:05:48,DY7092,LAX,ARN,05/27/19,18:00,20:10 +1,1030,1,D8231,Copenhagen,5h 20m,1078,1168,1139.2,1708,1769.2
5,19-05-23 13:05:48,DY7098,LAX,ARN,05/27/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,741.6,831.6,1359.3,1261.6,1429.3
6,19-05-23 13:05:48,DI7096,LAX,ARN,05/27/19,19:40,23:15 +1,1115,1,D82858,London,5h 55m,862.9,952.9,1106.3,1342.9,1296.3
0,19-05-23 13:05:48,,LAX,ARN,05/28/19,18:50,14:25 +1,635,0,,,,,,,,1489.9
1,19-05-23 13:05:48,DY7088,LAX,ARN,05/28/19,19:30,20:20 +1,950,1,,London,3h 10m,,,,1179.8,1296.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,05/28/19,19:30,23:15 +1,1125,1,D82856,London,6h 5m,,,,1179.8,1296.3
3,19-05-23 13:05:48,DI7096,LAX,ARN,05/28/19,20:00,00:40 +2,1180,1,D82858,Paris,6h 30m,909.3,999.3,1359.3,1429.3,1429.3
0,19-05-23 13:05:48,DY7084,LAX,ARN,05/29/19,19:40,17:30 +1,770,1,DY4116,Oslo,1h 35m,985.3,1075.3,1056.9,1615.3,1686.9
1,19-05-23 13:05:48,DY7084,LAX,ARN,05/29/19,19:40,19:00 +1,860,1,DY822,Oslo,3h 5m,985.3,1075.3,1056.9,1615.3,1686.9
2,19-05-23 13:05:48,DI7096,LAX,ARN,05/29/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,758.2,848.2,1013.1,1168.2,1203.1
3,19-05-23 13:05:48,DY7084,LAX,ARN,05/29/19,19:40,20:30 +1,950,1,DY4122,Oslo,4h 35m,961.5,1051.5,1015.1,1591.5,1645.1
4,19-05-23 13:05:48,DY7098,LAX,ARN,05/29/19,22:15,00:40 +2,1045,1,DY4314,Paris,4h 15m,1209,1299,1359.3,1499,1649.3
5,19-05-23 13:05:48,DI7096,LAX,ARN,05/29/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,781.4,871.4,1013.1,1191.4,1203.1
0,19-05-23 13:05:48,DY7088,LAX,ARN,05/30/19,15:45,11:20 +1,635,0,,,,,,929.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,05/30/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,,,,1494.8,1576.3
2,19-05-23 13:05:48,DI7096,LAX,ARN,05/30/19,19:30,23:15 +1,1125,1,D82858,London,6h 5m,,,,1483.1,1576.3
3,19-05-23 13:05:48,DY7098,LAX,ARN,05/30/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,687.4,777.4,1229.3,1487.4,1649.3
4,19-05-23 13:05:48,DY7108,LAX,ARN,05/30/19,16:35,22:55 +1,1280,1,D85522,Barcelona,5h 0m,953.4,1043.4,1527.8,1623.4,1917.8
5,19-05-23 13:05:48,,LAX,ARN,05/30/19,16:35,23:45 +1,1330,1,,Barcelona,7h 40m,0,0,0,0,0
0,19-05-23 13:05:48,DI7096,LAX,ARN,05/31/19,19:30,20:20 +1,950,1,D82856,London,3h 10m,932.9,1022.9,1269.4,,
1,19-05-23 13:05:48,,LAX,ARN,05/31/19,20:00,21:05 +1,965,1,,Barcelona,1h 35m,0,0,0,,
0,19-05-23 13:05:48,DY7088,LAX,ARN,06/01/19,18:00,13:35 +1,635,0,,,,789.9,879.9,859.9,,1489.9
1,19-05-23 13:05:48,DI7096,LAX,ARN,06/01/19,19:30,19:45 +1,915,1,DY4456,London,2h 35m,1154.1,1244.1,1444.1,,
2,19-05-23 13:05:48,,LAX,ARN,06/01/19,18:25,20:50 +1,1045,1,,Barcelona,2h 55m,0,0,0,0,0
3,19-05-23 13:05:48,DI7096,LAX,ARN,06/01/19,19:30,23:50 +1,1160,1,D82858,London,6h 40m,979.4,1069.4,1269.4,,
4,19-05-23 13:05:48,DY7098,LAX,ARN,06/01/19,20:00,00:40 +2,1180,1,DY4314,Paris,6h 30m,,,1417.1,,
0,19-05-23 13:05:48,DY7084,LAX,ARN,06/02/19,20:30,19:00 +1,810,1,DY822,Oslo,2h 15m,801.5,891.5,,1291.5,
1,19-05-23 13:05:48,DY7084,LAX,ARN,06/02/19,20:30,20:30 +1,900,1,DY4122,Oslo,3h 45m,801.5,891.5,1015.1,1291.5,1345.1
